V4_0,time,time,uk-only,geography,cpih1dim1aggid,aggregate
79.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
39.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G100000,10.0 Education
71.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G10100,01.1 Food
71.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G10200,01.2 Non-alcoholic beverages
73.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G110100,11.1 Catering services
77.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G110200,11.2 Accommodation services
86.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120100,12.1 Personal care
75,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120300,12.3 Personal effects (nec)
67.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120400,12.4 Social protection
61.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120500,12.5 Insurance
106.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120600,12.6 Financial services (nec)
73.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120700,12.7 Other services (nec)
80.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G20100,02.1 Alcoholic beverages
52.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G20200,02.2 Tobacco
122.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G30100,03.1 Clothing
121.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G30200,03.2 Footwear including repairs
77.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40100,04.1 Actual rentals for housing
85.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40200,04.2.0 Owner Occupied Housing Costs
71.4,Month,Aug-08,K02000001,United Kingdom,cpih1dim1S70301,07.3.1 Passenger transport by railway
80.6,Month,Aug-08,K02000001,United Kingdom,cpih1dim1S70302,07.3.2 Passenger transport by road
85.1,Month,Aug-08,K02000001,United Kingdom,cpih1dim1S70303,07.3.3 Passenger transport by air
76.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40300,04.3 Regular maintenance and repair of the dwelling
67.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40400,04.4 Water supply and misc. services for the dwelling
46.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40500,"04.5 Electricity , gas and other fuels"
82,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40900,04.9.0 Council Tax and rates
81.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50100,"05.1 Furniture, furnishings and carpets"
102.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50200,05.2 Household textiles
92.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50300,"05.3 Household appliances, fitting and repairs"
84.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50400,"05.4 Glassware, tableware and household utensils"
74.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50500,05.5 Tools and equipment for house and garden
73.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50600,05.6 Goods and services for routine maintenance
90.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G60100,"06.1 Medical products, appliances and equipment"
77.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G60200,06.2 Out-patient services
59,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G60300,06.3 Hospital services
99.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G70100,07.1 Purchase of vehicles
73.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G70200,07.2 Operation of personal transport equipment
51.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G70300,07.3 Transport services
44.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G80100,08.1 Postal services
90.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G80200,08.2/3 Telephone and telefax equip
252.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90100,09.1 Audio-visual equipment and related products
79.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90200,9.2 Other major durables for recreation and culture
102.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90300,"09.3 Other recreational items, gardens and pets"
69.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90400,09.4 Recreational and cultural services
71.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90500,"09.5 Books, newspapers and stationery"
78.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90600,09.6 Package holidays
39.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S100000,10.0.0 Education
71.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10101,01.1.1 Bread and cereals
72.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10102,01.1.2 Meat
63.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10103,01.1.3 Fish
76.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10104,"01.1.4 Milk, cheese and eggs"
64.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10105,01.1.5 Oils and fats
68.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10106,01.1.6 Fruit
75.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10107,01.1.7 Vegetables including potatoes and tubers
64.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
80.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10109,01.1.9 Food products (nec)
66.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10201,"01.2.1 Coffee, tea and cocoa"
73.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
72.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S110101,"11.1.1 Restaurants, cafes"
77.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S110102,11.1.2 Canteens
77.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S110200,11.2.0 Accommodation Services
78,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120101,12.1.1 Hairdressing and personal grooming establishments
89.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120102,12.1.2/3 Appliances and products for personal care
66.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120301,"12.3.1 Jewellery, clocks and watches"
95.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120302,12.3.2 Other personal effects
67.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120400,12.4.0 Social Protection
99.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120502,12.5.2 House contents insurance
52.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120503,12.5.3 Health insurance
51.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120504,12.5.4 Transport insurance
106.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120602,12.6.2 Other financial services (nec)
73.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120700,12.7.0 Other Services Not Elsewhere covered
75.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20101,02.1.1 Spirits
77.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20102,02.1.2 Wine
92.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20103,02.1.3 Beer
52.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20200,02.2.0 Tobacco
125,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S30102,03.1.2 Garments
